original_file_name,id_A,id_B,sentence_count_A,sentence_count_B,level_A,level_B,collab_score_avg_A,collab_score_avg_B,fragment_count_A,fragment_count_B,fragment_count_all,fragments_A,fragments_B,fragments_all
,,,,,,,,,,,,,,Uh the New camera at uh com
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,It's WW
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,How?
,,,,,,,,,,,,,,Discount
,,,,,,,,,,,,,,Yeah online
,,,,,,,,,,,,,,Really?
,,,,,,,,,,,,,,Uh online
,,,,,,,,,,,,,,Okay
02258&02042_A.txt,A042,B258,27,26,1,1,3,3,8,6,13,,,
,,,,,,,,,,,, Two years guarantee hah?,,
,,,,,,,,,,,,B?,,
,,,,,,,,,,,,Yeah,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Okay I,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,have a good one,,
,,,,,,,,,,,,Uh-huh bad for gr-bag for cover?,,
,,,,,,,,,,,,, Yeah,
,,,,,,,,,,,,,Yup, exactly,
,,,,,,,,,,,,,Yup, two years guarantee,
,,,,,,,,,,,,,You too,
,,,,,,,,,,,,,Bag for yeah, to cover the camera,
,,,,,,,,,,,,,That's it,
,,,,,,,,,,,,,, Two years guarantee hah?
,,,,,,,,,,,,,,B?
,,,,,,,,,,,,,,Yeah
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Yup, exactly
,,,,,,,,,,,,,,Okay I
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,have a good one
,,,,,,,,,,,,,,Yup, two years guarantee
,,,,,,,,,,,,,,Uh-huh bad for gr-bag for cover?
,,,,,,,,,,,,,,You too
,,,,,,,,,,,,,,Bag for yeah, to cover the camera
,,,,,,,,,,,,,,That's it
02260&02540_B.txt,A540,B260,18,19,1,1,3,3,6,5,10,,,
,,,,,,,,,,,, Yeah,,
,,,,,,,,,,,,Thank you B,,
,,,,,,,,,,,,Uh-huh,,
,,,,,,,,,,,,Okay,,
,,,,,,,,,,,,Yep,,
,,,,,,,,,,,,Okay how about the photography?,,
,,,,,,,,,,,,, Ph-uh photograph? This one,
,,,,,,,,,,,,,Yeah, thank you,
,,,,,,,,,,,,,Uh-huh?,
,,,,,,,,,,,,,Yep,
,,,,,,,,,,,,,Mm-hmm,
,,,,,,,,,,,,,, Yeah
,,,,,,,,,,,,,,Ph-uh photograph? This one
,,,,,,,,,,,,,,Thank you B
,,,,,,,,,,,,,,Uh-huh
,,,,,,,,,,,,,,Yeah, thank you
,,,,,,,,,,,,,,Okay
,,,,,,,,,,,,,,Uh-huh?
,,,,,,,,,,,,,,Yep
,,,,,,,,,,,,,,Okay how about the photography?
,,,,,,,,,,,,,,Mm-hmm
02261&02326_B.txt,A326,B261,6,2,1,1,2,2,0,0,0,,,
02265&02209_A.txt,A209,B265,18,9,1,1,4,4,5,2,7,,,
,,,,,,,,,,,, Thank you,,
